MPX received, heartbeat, in, 1505, us
MPX received, heartbeat, in, 7139, us
MPX received, heartbeat, in, 4161, us
MPX received, heartbeat, in, 1020, us
MPX received, heartbeat, in, 923, us
MPX received, updateMissionPlan, in, 1348, us
MPX received, recieveISRMDetections, in, 1041, us
