71570826,local,component_heartbeats, 1
71570831,xd,component_heartbeats, 1
71571833,local,updateMissionPlan, 1
71571839,xd,updateMissionPlan, 2
71572841,local,component_heartbeats, 2
71572846,xd,component_heartbeats, 1
71573848,local,groundMovers, 1
71573853,xd,groundMovers, 1
71574855,local,requestISRMDetections, 1
71574860,xd,requestISRMDetections, 1
71575862,local,pnt, 1
71575867,xd,pnt, 1
71576869,local,requestEOIRDetections, 1
71576874,xd,requestEOIRDetections, 1
71577876,local,requestRDRDetections, 1
71577881,xd,requestRDRDetections, 1
71578883,local,recieveEOIRDetections, 1
71578888,xd,recieveEOIRDetections, 1
71579890,local,recieveRDRDetections, 2
71579895,xd,recieveRDRDetections, 1
71580897,local,component_heartbeats, 1
71580902,xd,component_heartbeats, 1
71581904,local,updateMissionPlan, 1
71581909,xd,updateMissionPlan, 2
71582911,local,component_heartbeats, 1
71582916,xd,component_heartbeats, 1
71583918,local,groundMovers, 1
71583923,xd,groundMovers, 1
